entry,at,order
"The player ""ばどえあー @ Ji_JkhdQ8C"" quits the game with a stack of 2394.",2026-02-09T14:01:02.526Z,177064566252600
"The player ""Kuni @ HIjaJ0Hz7_"" quits the game with a stack of 2795.",2026-02-09T14:01:00.676Z,177064566067600
"The player ""Kuni @ HIjaJ0Hz7_"" stand up with the stack of 2795.",2026-02-09T14:00:57.544Z,177064565754400
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 2351.",2026-02-09T14:00:37.060Z,177064563706000
"The player ""ばどえあー @ Ji_JkhdQ8C"" stand up with the stack of 2394.",2026-02-09T14:00:22.664Z,177064562266400
"The player ""MIU @ nBDoNSY8n2"" quits the game with a stack of 2685.",2026-02-09T14:00:16.744Z,177064561674401
"The player ""翔斗 @ 4_RBXVU9-k"" stand up with the stack of 2351.",2026-02-09T14:00:16.744Z,177064561674400
"-- ending hand #81 --",2026-02-09T14:00:13.831Z,177064561383102
"""翔斗 @ 4_RBXVU9-k"" collected 120 from pot",2026-02-09T14:00:13.831Z,177064561383101
"Uncalled bet of 150 returned to ""翔斗 @ 4_RBXVU9-k""",2026-02-09T14:00:13.831Z,177064561383100
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T14:00:12.989Z,177064561298900
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T14:00:11.386Z,177064561138600
"""翔斗 @ 4_RBXVU9-k"" raises to 200",2026-02-09T14:00:08.636Z,177064560863600
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:04.594Z,177064560459400
"""ばどえあー @ Ji_JkhdQ8C"" raises to 50",2026-02-09T13:59:58.276Z,177064559827600
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:59:51.715Z,177064559171500
"""MIU @ nBDoNSY8n2"" posts a big blind of 20",2026-02-09T13:59:39.923Z,177064557992308
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-02-09T13:59:39.923Z,177064557992307
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2795) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2444) | #7 ""翔斗 @ 4_RBXVU9-k"" (2281) | #9 ""MIU @ nBDoNSY8n2"" (2705)",2026-02-09T13:59:39.923Z,177064557992302
"-- starting hand #81 (id: gbjgrtvlo16a)  No Limit Texas Hold'em (dead button) --",2026-02-09T13:59:39.923Z,177064557992301
"The player ""waho @ Oc04ITRF7i"" quits the game with a stack of 3371.",2026-02-09T13:59:39.923Z,177064557992300
"-- ending hand #80 --",2026-02-09T13:59:37.018Z,177064557701802
"""Kuni @ HIjaJ0Hz7_"" collected 50 from pot",2026-02-09T13:59:37.018Z,177064557701801
"Uncalled bet of 25 returned to ""Kuni @ HIjaJ0Hz7_""",2026-02-09T13:59:37.018Z,177064557701800
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:59:36.193Z,177064557619300
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:59:35.153Z,177064557515300
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:59:34.319Z,177064557431900
"""Kuni @ HIjaJ0Hz7_"" raises to 45",2026-02-09T13:59:33.306Z,177064557330600
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T13:59:24.550Z,177064556455000
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-02-09T13:59:23.435Z,177064556343508
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2026-02-09T13:59:23.435Z,177064556343507
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2765) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2444) | #4 ""waho @ Oc04ITRF7i"" (3381) | #7 ""翔斗 @ 4_RBXVU9-k"" (2301) | #9 ""MIU @ nBDoNSY8n2"" (2705)",2026-02-09T13:59:23.435Z,177064556343501
"-- starting hand #80 (id: jn9kgrtzs6zn)  No Limit Texas Hold'em (dealer: ""ばどえあー @ Ji_JkhdQ8C"") --",2026-02-09T13:59:23.435Z,177064556343500
"-- ending hand #79 --",2026-02-09T13:59:20.510Z,177064556051002
"""MIU @ nBDoNSY8n2"" collected 50 from pot",2026-02-09T13:59:20.510Z,177064556051001
"Uncalled bet of 30 returned to ""MIU @ nBDoNSY8n2""",2026-02-09T13:59:20.510Z,177064556051000
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:59:19.672Z,177064555967200
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:59:18.585Z,177064555858500
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:59:17.558Z,177064555755800
"""MIU @ nBDoNSY8n2"" raises to 50",2026-02-09T13:59:15.471Z,177064555547100
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:59:09.989Z,177064554998900
"""waho @ Oc04ITRF7i"" posts a big blind of 20",2026-02-09T13:59:08.506Z,177064554850608
"""ばどえあー @ Ji_JkhdQ8C"" posts a small blind of 10",2026-02-09T13:59:08.506Z,177064554850607
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2765) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2454) | #4 ""waho @ Oc04ITRF7i"" (3401) | #7 ""翔斗 @ 4_RBXVU9-k"" (2301) | #9 ""MIU @ nBDoNSY8n2"" (2675)",2026-02-09T13:59:08.506Z,177064554850601
"-- starting hand #79 (id: dp3aykpqwziv)  No Limit Texas Hold'em (dealer: ""Kuni @ HIjaJ0Hz7_"") --",2026-02-09T13:59:08.506Z,177064554850600
"-- ending hand #78 --",2026-02-09T13:59:05.571Z,177064554557102
"""MIU @ nBDoNSY8n2"" collected 150 from pot",2026-02-09T13:59:05.571Z,177064554557101
"Uncalled bet of 100 returned to ""MIU @ nBDoNSY8n2""",2026-02-09T13:59:05.571Z,177064554557100
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:59:04.758Z,177064554475800
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:58:56.302Z,177064553630200
"""MIU @ nBDoNSY8n2"" bets 100",2026-02-09T13:58:54.553Z,177064553455300
"""ばどえあー @ Ji_JkhdQ8C"" checks",2026-02-09T13:58:47.687Z,177064552768700
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-09T13:58:41.923Z,177064552192300
"River: Q♥, 8♦, K♣, 3♥ [10♠]",2026-02-09T13:58:39.252Z,177064551925200
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:58:38.442Z,177064551844200
"""ばどえあー @ Ji_JkhdQ8C"" checks",2026-02-09T13:58:36.297Z,177064551629700
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-09T13:58:29.662Z,177064550966200
"Turn: Q♥, 8♦, K♣ [3♥]",2026-02-09T13:58:28.246Z,177064550824600
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:58:27.431Z,177064550743100
"""ばどえあー @ Ji_JkhdQ8C"" checks",2026-02-09T13:58:25.402Z,177064550540200
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-09T13:58:24.203Z,177064550420300
"Flop:  [Q♥, 8♦, K♣]",2026-02-09T13:58:18.114Z,177064549811400
"""ばどえあー @ Ji_JkhdQ8C"" calls 50",2026-02-09T13:58:17.302Z,177064549730200
"""Kuni @ HIjaJ0Hz7_"" calls 50",2026-02-09T13:58:14.545Z,177064549454500
"""MIU @ nBDoNSY8n2"" raises to 50",2026-02-09T13:58:12.881Z,177064549288100
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:58:09.011Z,177064548901100
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:58:07.989Z,177064548798900
"""ばどえあー @ Ji_JkhdQ8C"" posts a big blind of 20",2026-02-09T13:58:06.570Z,177064548657008
"""Kuni @ HIjaJ0Hz7_"" posts a small blind of 10",2026-02-09T13:58:06.570Z,177064548657007
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2815) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2504) | #4 ""waho @ Oc04ITRF7i"" (3401) | #7 ""翔斗 @ 4_RBXVU9-k"" (2301) | #9 ""MIU @ nBDoNSY8n2"" (2575)",2026-02-09T13:58:06.570Z,177064548657001
"-- starting hand #78 (id: 8xqwezot8cn1)  No Limit Texas Hold'em (dealer: ""MIU @ nBDoNSY8n2"") --",2026-02-09T13:58:06.570Z,177064548657000
"-- ending hand #77 --",2026-02-09T13:58:03.581Z,177064548358102
"""MIU @ nBDoNSY8n2"" collected 240 from pot",2026-02-09T13:58:03.581Z,177064548358101
"Uncalled bet of 200 returned to ""MIU @ nBDoNSY8n2""",2026-02-09T13:58:03.581Z,177064548358100
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:58:02.736Z,177064548273600
"""MIU @ nBDoNSY8n2"" bets 200",2026-02-09T13:57:58.006Z,177064547800600
"River: 3♥, 6♥, 10♥, A♣ [4♠]",2026-02-09T13:57:51.165Z,177064547116500
"""Kuni @ HIjaJ0Hz7_"" calls 60",2026-02-09T13:57:50.356Z,177064547035600
"""MIU @ nBDoNSY8n2"" bets 60",2026-02-09T13:57:45.589Z,177064546558900
"Turn: 3♥, 6♥, 10♥ [A♣]",2026-02-09T13:57:39.376Z,177064545937600
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-09T13:57:38.563Z,177064545856300
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:57:37.544Z,177064545754400
"Flop:  [3♥, 6♥, 10♥]",2026-02-09T13:57:34.423Z,177064545442300
"""Kuni @ HIjaJ0Hz7_"" calls 60",2026-02-09T13:57:33.583Z,177064545358300
"""MIU @ nBDoNSY8n2"" raises to 60",2026-02-09T13:57:25.205Z,177064544520500
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:57:20.626Z,177064544062600
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:57:19.606Z,177064543960600
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:57:18.346Z,177064543834600
"""Kuni @ HIjaJ0Hz7_"" posts a big blind of 20",2026-02-09T13:57:15.765Z,177064543576508
"""MIU @ nBDoNSY8n2"" posts a small blind of 10",2026-02-09T13:57:15.765Z,177064543576507
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2935) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2504) | #4 ""waho @ Oc04ITRF7i"" (3401) | #7 ""翔斗 @ 4_RBXVU9-k"" (2301) | #9 ""MIU @ nBDoNSY8n2"" (2455)",2026-02-09T13:57:15.765Z,177064543576501
"-- starting hand #77 (id: wacvvezhcakn)  No Limit Texas Hold'em (dealer: ""翔斗 @ 4_RBXVU9-k"") --",2026-02-09T13:57:15.765Z,177064543576500
"-- ending hand #76 --",2026-02-09T13:57:12.804Z,177064543280402
"""翔斗 @ 4_RBXVU9-k"" collected 300 from pot",2026-02-09T13:57:12.804Z,177064543280401
"Uncalled bet of 280 returned to ""翔斗 @ 4_RBXVU9-k""",2026-02-09T13:57:12.804Z,177064543280400
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:57:11.977Z,177064543197700
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:57:03.554Z,177064542355400
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T13:56:50.611Z,177064541061100
"""翔斗 @ 4_RBXVU9-k"" raises to 400",2026-02-09T13:56:49.598Z,177064540959800
"""waho @ Oc04ITRF7i"" raises to 120",2026-02-09T13:56:28.484Z,177064538848400
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:56:23.054Z,177064538305400
"""Kuni @ HIjaJ0Hz7_"" raises to 40",2026-02-09T13:56:19.912Z,177064537991200
"""MIU @ nBDoNSY8n2"" posts a big blind of 20",2026-02-09T13:55:56.254Z,177064535625408
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-02-09T13:55:56.254Z,177064535625407
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2975) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2504) | #4 ""waho @ Oc04ITRF7i"" (3521) | #7 ""翔斗 @ 4_RBXVU9-k"" (2121) | #9 ""MIU @ nBDoNSY8n2"" (2475)",2026-02-09T13:55:56.254Z,177064535625401
"-- starting hand #76 (id: b1cevdx8qspd)  No Limit Texas Hold'em (dealer: ""waho @ Oc04ITRF7i"") --",2026-02-09T13:55:56.254Z,177064535625400
"-- ending hand #75 --",2026-02-09T13:55:50.251Z,177064535025102
"""MIU @ nBDoNSY8n2"" collected 370 from pot with Pair, K's (combination: 6♦, 10♣, Q♦, K♣, K♦)",2026-02-09T13:55:50.251Z,177064535025101
"""MIU @ nBDoNSY8n2"" shows a Q♦, K♣.",2026-02-09T13:55:50.251Z,177064535025100
"""翔斗 @ 4_RBXVU9-k"" calls 100",2026-02-09T13:55:49.445Z,177064534944500
"""MIU @ nBDoNSY8n2"" bets 100",2026-02-09T13:55:45.592Z,177064534559200
"""翔斗 @ 4_RBXVU9-k"" checks",2026-02-09T13:55:37.385Z,177064533738500
"River: 6♦, 5♣, 4♠, K♦ [10♣]",2026-02-09T13:55:31.975Z,177064533197500
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:55:31.146Z,177064533114600
"""翔斗 @ 4_RBXVU9-k"" checks",2026-02-09T13:55:29.226Z,177064532922600
"Turn: 6♦, 5♣, 4♠ [K♦]",2026-02-09T13:55:22.464Z,177064532246400
"""MIU @ nBDoNSY8n2"" calls 30",2026-02-09T13:55:21.644Z,177064532164400
"""翔斗 @ 4_RBXVU9-k"" bets 30",2026-02-09T13:55:14.787Z,177064531478700
"Flop:  [6♦, 5♣, 4♠]",2026-02-09T13:55:01.690Z,177064530169000
"""翔斗 @ 4_RBXVU9-k"" calls 50",2026-02-09T13:55:00.818Z,177064530081800
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:54:57.672Z,177064529767200
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:54:54.402Z,177064529440200
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:54:53.184Z,177064529318400
"""MIU @ nBDoNSY8n2"" raises to 50",2026-02-09T13:54:43.063Z,177064528306300
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-02-09T13:54:39.034Z,177064527903408
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2026-02-09T13:54:39.034Z,177064527903407
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2975) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2504) | #4 ""waho @ Oc04ITRF7i"" (3531) | #7 ""翔斗 @ 4_RBXVU9-k"" (2301) | #9 ""MIU @ nBDoNSY8n2"" (2285)",2026-02-09T13:54:39.034Z,177064527903401
"-- starting hand #75 (id: l2hwpg9qezfm)  No Limit Texas Hold'em (dealer: ""ばどえあー @ Ji_JkhdQ8C"") --",2026-02-09T13:54:39.034Z,177064527903400
"-- ending hand #74 --",2026-02-09T13:54:36.071Z,177064527607102
"""waho @ Oc04ITRF7i"" collected 20 from pot",2026-02-09T13:54:36.071Z,177064527607101
"Uncalled bet of 10 returned to ""waho @ Oc04ITRF7i""",2026-02-09T13:54:36.071Z,177064527607100
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:54:35.238Z,177064527523800
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:54:34.143Z,177064527414300
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T13:54:31.026Z,177064527102600
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:54:30.028Z,177064527002800
"""waho @ Oc04ITRF7i"" posts a big blind of 20",2026-02-09T13:54:28.630Z,177064526863008
"""ばどえあー @ Ji_JkhdQ8C"" posts a small blind of 10",2026-02-09T13:54:28.630Z,177064526863007
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2975) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2514) | #4 ""waho @ Oc04ITRF7i"" (3521) | #7 ""翔斗 @ 4_RBXVU9-k"" (2301) | #9 ""MIU @ nBDoNSY8n2"" (2285)",2026-02-09T13:54:28.630Z,177064526863001
"-- starting hand #74 (id: s7kgsr6n06u5)  No Limit Texas Hold'em (dealer: ""Kuni @ HIjaJ0Hz7_"") --",2026-02-09T13:54:28.630Z,177064526863000
"-- ending hand #73 --",2026-02-09T13:54:25.629Z,177064526562902
"""ばどえあー @ Ji_JkhdQ8C"" collected 110 from pot",2026-02-09T13:54:25.629Z,177064526562901
"Uncalled bet of 210 returned to ""ばどえあー @ Ji_JkhdQ8C""",2026-02-09T13:54:25.629Z,177064526562900
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:54:24.740Z,177064526474000
"""ばどえあー @ Ji_JkhdQ8C"" raises to 260",2026-02-09T13:54:21.880Z,177064526188000
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:54:13.169Z,177064525316900
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T13:54:05.400Z,177064524540000
"""翔斗 @ 4_RBXVU9-k"" raises to 50",2026-02-09T13:54:04.046Z,177064524404600
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:53:59.718Z,177064523971800
"""ばどえあー @ Ji_JkhdQ8C"" posts a big blind of 20",2026-02-09T13:53:58.417Z,177064523841708
"""Kuni @ HIjaJ0Hz7_"" posts a small blind of 10",2026-02-09T13:53:58.417Z,177064523841707
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (2985) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2454) | #4 ""waho @ Oc04ITRF7i"" (3521) | #7 ""翔斗 @ 4_RBXVU9-k"" (2351) | #9 ""MIU @ nBDoNSY8n2"" (2285)",2026-02-09T13:53:58.417Z,177064523841701
"-- starting hand #73 (id: rfzyiqtyyrm1)  No Limit Texas Hold'em (dealer: ""MIU @ nBDoNSY8n2"") --",2026-02-09T13:53:58.417Z,177064523841700
"-- ending hand #72 --",2026-02-09T13:53:52.411Z,177064523241102
"""waho @ Oc04ITRF7i"" collected 870 from pot with Full House, 7's over A's (combination: A♥, A♣, 7♥, 7♠, 7♦)",2026-02-09T13:53:52.411Z,177064523241101
"""waho @ Oc04ITRF7i"" shows a 10♥, 7♥.",2026-02-09T13:53:52.411Z,177064523241100
"""Kuni @ HIjaJ0Hz7_"" calls 360",2026-02-09T13:53:51.602Z,177064523160200
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T13:53:49.878Z,177064522987800
"""waho @ Oc04ITRF7i"" raises to 360",2026-02-09T13:53:47.773Z,177064522777300
"""Kuni @ HIjaJ0Hz7_"" bets 100",2026-02-09T13:53:36.866Z,177064521686600
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:53:30.644Z,177064521064400
"River: A♥, A♣, 7♠, 7♦ [5♥]",2026-02-09T13:53:26.365Z,177064520636500
"""waho @ Oc04ITRF7i"" checks",2026-02-09T13:53:25.521Z,177064520552100
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-09T13:53:16.783Z,177064519678300
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:53:15.786Z,177064519578600
"Turn: A♥, A♣, 7♠ [7♦]",2026-02-09T13:53:12.592Z,177064519259200
"""waho @ Oc04ITRF7i"" checks",2026-02-09T13:53:11.769Z,177064519176900
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-09T13:53:06.576Z,177064518657600
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:53:05.554Z,177064518555400
"Flop:  [A♥, A♣, 7♠]",2026-02-09T13:53:03.151Z,177064518315100
"""Kuni @ HIjaJ0Hz7_"" calls 50",2026-02-09T13:53:02.289Z,177064518228900
"""MIU @ nBDoNSY8n2"" calls 50",2026-02-09T13:52:59.644Z,177064517964400
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:52:58.378Z,177064517837800
"""waho @ Oc04ITRF7i"" raises to 50",2026-02-09T13:52:57.331Z,177064517733100
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:52:51.834Z,177064517183400
"""Kuni @ HIjaJ0Hz7_"" posts a big blind of 20",2026-02-09T13:52:50.262Z,177064517026208
"""MIU @ nBDoNSY8n2"" posts a small blind of 10",2026-02-09T13:52:50.262Z,177064517026207
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (3395) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2454) | #4 ""waho @ Oc04ITRF7i"" (3061) | #7 ""翔斗 @ 4_RBXVU9-k"" (2351) | #9 ""MIU @ nBDoNSY8n2"" (2335)",2026-02-09T13:52:50.262Z,177064517026201
"-- starting hand #72 (id: mz9aq3urfmdb)  No Limit Texas Hold'em (dealer: ""翔斗 @ 4_RBXVU9-k"") --",2026-02-09T13:52:50.262Z,177064517026200
"-- ending hand #71 --",2026-02-09T13:52:47.319Z,177064516731902
"""Kuni @ HIjaJ0Hz7_"" collected 50 from pot",2026-02-09T13:52:47.319Z,177064516731901
"Uncalled bet of 25 returned to ""Kuni @ HIjaJ0Hz7_""",2026-02-09T13:52:47.319Z,177064516731900
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T13:52:46.494Z,177064516649400
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:52:44.329Z,177064516432900
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:52:43.312Z,177064516331200
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:52:42.314Z,177064516231400
"""Kuni @ HIjaJ0Hz7_"" raises to 45",2026-02-09T13:52:41.284Z,177064516128400
"""MIU @ nBDoNSY8n2"" posts a big blind of 20",2026-02-09T13:52:32.055Z,177064515205508
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-02-09T13:52:32.055Z,177064515205507
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (3365) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2454) | #4 ""waho @ Oc04ITRF7i"" (3061) | #7 ""翔斗 @ 4_RBXVU9-k"" (2361) | #9 ""MIU @ nBDoNSY8n2"" (2355)",2026-02-09T13:52:32.055Z,177064515205501
"-- starting hand #71 (id: 721xsfgjk3dr)  No Limit Texas Hold'em (dealer: ""waho @ Oc04ITRF7i"") --",2026-02-09T13:52:32.055Z,177064515205500
"-- ending hand #70 --",2026-02-09T13:52:29.107Z,177064514910702
"""MIU @ nBDoNSY8n2"" collected 50 from pot",2026-02-09T13:52:29.107Z,177064514910701
"Uncalled bet of 30 returned to ""MIU @ nBDoNSY8n2""",2026-02-09T13:52:29.107Z,177064514910700
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:52:28.295Z,177064514829500
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:52:26.866Z,177064514686600
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:52:25.046Z,177064514504600
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:52:23.908Z,177064514390800
"""MIU @ nBDoNSY8n2"" raises to 50",2026-02-09T13:52:22.917Z,177064514291700
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-02-09T13:52:19.042Z,177064513904208
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2026-02-09T13:52:19.042Z,177064513904207
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (3365) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2454) | #4 ""waho @ Oc04ITRF7i"" (3071) | #7 ""翔斗 @ 4_RBXVU9-k"" (2381) | #9 ""MIU @ nBDoNSY8n2"" (2325)",2026-02-09T13:52:19.042Z,177064513904201
"-- starting hand #70 (id: rgcpuz1ocdhw)  No Limit Texas Hold'em (dealer: ""ばどえあー @ Ji_JkhdQ8C"") --",2026-02-09T13:52:19.042Z,177064513904200
"-- ending hand #69 --",2026-02-09T13:52:16.101Z,177064513610102
"""ばどえあー @ Ji_JkhdQ8C"" collected 140 from pot",2026-02-09T13:52:16.101Z,177064513610101
"Uncalled bet of 190 returned to ""ばどえあー @ Ji_JkhdQ8C""",2026-02-09T13:52:16.101Z,177064513610100
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T13:52:15.284Z,177064513528400
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:52:10.566Z,177064513056600
"""ばどえあー @ Ji_JkhdQ8C"" raises to 250",2026-02-09T13:52:09.558Z,177064512955800
"""Kuni @ HIjaJ0Hz7_"" raises to 60",2026-02-09T13:51:59.299Z,177064511929900
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T13:51:53.835Z,177064511383500
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:51:52.792Z,177064511279200
"""waho @ Oc04ITRF7i"" posts a big blind of 20",2026-02-09T13:51:51.321Z,177064511132108
"""ばどえあー @ Ji_JkhdQ8C"" posts a small blind of 10",2026-02-09T13:51:51.321Z,177064511132107
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (3425) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2374) | #4 ""waho @ Oc04ITRF7i"" (3091) | #7 ""翔斗 @ 4_RBXVU9-k"" (2381) | #9 ""MIU @ nBDoNSY8n2"" (2325)",2026-02-09T13:51:51.321Z,177064511132101
"-- starting hand #69 (id: 3opy1pjqw4zs)  No Limit Texas Hold'em (dealer: ""Kuni @ HIjaJ0Hz7_"") --",2026-02-09T13:51:51.321Z,177064511132100
"-- ending hand #68 --",2026-02-09T13:51:48.389Z,177064510838902
"""Kuni @ HIjaJ0Hz7_"" collected 40 from pot",2026-02-09T13:51:48.389Z,177064510838901
"Uncalled bet of 30 returned to ""Kuni @ HIjaJ0Hz7_""",2026-02-09T13:51:48.389Z,177064510838900
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-09T13:51:47.563Z,177064510756300
"""Kuni @ HIjaJ0Hz7_"" raises to 50",2026-02-09T13:51:46.257Z,177064510625700
"""MIU @ nBDoNSY8n2"" folds",2026-02-09T13:51:40.574Z,177064510057400
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T13:51:39.524Z,177064509952400
"""waho @ Oc04ITRF7i"" folds",2026-02-09T13:51:38.478Z,177064509847800
"""ばどえあー @ Ji_JkhdQ8C"" posts a big blind of 20",2026-02-09T13:51:36.781Z,177064509678108
"""Kuni @ HIjaJ0Hz7_"" posts a small blind of 10",2026-02-09T13:51:36.781Z,177064509678107
"Player stacks: #1 ""Kuni @ HIjaJ0Hz7_"" (3405) | #3 ""ばどえあー @ Ji_JkhdQ8C"" (2394) | #4 ""waho @ Oc04ITRF7i"" (3091) | #7 ""翔斗 @ 4_RBXVU9-k"" (2381) | #9 ""MIU @ nBDoNSY8n2"" (2325)",2026-02-09T13:51:36.781Z,177064509678101
"-- starting hand #68 (id: xeap9q8ay7na)  No Limit Texas Hold'em (dealer: ""MIU @ nBDoNSY8n2"") --",2026-02-09T13:51:36.781Z,177064509678100
"-- ending hand #67 --",2026-02-09T13:51:30.775Z,177064509077502
"""MIU @ nBDoNSY8n2"" collected 220 from pot with Pair, 6's (combination: J♥, Q♣, A♥, 6♠, 6♥)",2026-02-09T13:51:30.775Z,177064509077501
"""MIU @ nBDoNSY8n2"" shows a A♥, Q♣.",2026-02-09T13:51:30.775Z,177064509077500
"""ばどえあー @ Ji_JkhdQ8C"" checks",2026-02-09T13:51:29.912Z,177064508991200
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:51:25.800Z,177064508580000
"River: J♥, 4♣, 6♠, 7♥ [6♥]",2026-02-09T13:51:22.561Z,177064508256100
"""ばどえあー @ Ji_JkhdQ8C"" checks",2026-02-09T13:51:21.755Z,177064508175500
"""MIU @ nBDoNSY8n2"" checks",2026-02-09T13:51:15.277Z,177064507527700
