entry,at,order
"The player ""Hibari @ gG60J3OV2j"" quits the game with a stack of 1930.",2026-02-02T12:31:45.930Z,177003550593000
"The player ""dismal @ MCmjCniXJd"" quits the game with a stack of 1063.",2026-02-02T12:31:44.098Z,177003550409800
"-- ending hand #51 --",2026-02-02T12:31:41.195Z,177003550119502
"""Hibari @ gG60J3OV2j"" collected 20 from pot",2026-02-02T12:31:41.195Z,177003550119501
"Uncalled bet of 10 returned to ""Hibari @ gG60J3OV2j""",2026-02-02T12:31:41.195Z,177003550119500
"""dismal @ MCmjCniXJd"" folds",2026-02-02T12:31:40.349Z,177003550034900
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2026-02-02T12:31:34.420Z,177003549442006
"""dismal @ MCmjCniXJd"" posts a small blind of 10",2026-02-02T12:31:34.420Z,177003549442005
"Player stacks: #3 ""dismal @ MCmjCniXJd"" (1073) | #10 ""Hibari @ gG60J3OV2j"" (1920)",2026-02-02T12:31:34.420Z,177003549442002
"-- starting hand #51 (id: memhmzz5jnxs)  (No Limit Texas Hold'em) (dealer: ""dismal @ MCmjCniXJd"") --",2026-02-02T12:31:34.420Z,177003549442001
"The player ""するたん @ vVo9VdBVBm"" quits the game with a stack of 1862.",2026-02-02T12:31:34.420Z,177003549442000
"-- ending hand #50 --",2026-02-02T12:31:28.414Z,177003548841402
"""dismal @ MCmjCniXJd"" collected 180 from pot with Pair, 7's (combination: 7♣, 7♦, A♦, J♥, 10♣)",2026-02-02T12:31:28.414Z,177003548841401
"""dismal @ MCmjCniXJd"" shows a A♦, 7♣.",2026-02-02T12:31:28.414Z,177003548841400
"""Hibari @ gG60J3OV2j"" checks",2026-02-02T12:31:27.586Z,177003548758600
"""dismal @ MCmjCniXJd"" checks",2026-02-02T12:31:26.026Z,177003548602600
"River: 2♠, 7♦, 10♣, 5♥ [J♥]",2026-02-02T12:31:10.972Z,177003547097200
"""Hibari @ gG60J3OV2j"" checks",2026-02-02T12:31:10.146Z,177003547014600
"""dismal @ MCmjCniXJd"" checks",2026-02-02T12:30:28.172Z,177003542817200
"Turn: 2♠, 7♦, 10♣ [5♥]",2026-02-02T12:30:26.423Z,177003542642300
"""dismal @ MCmjCniXJd"" calls 30",2026-02-02T12:30:25.542Z,177003542554200
"""Hibari @ gG60J3OV2j"" bets 30",2026-02-02T12:30:18.089Z,177003541808900
"""dismal @ MCmjCniXJd"" checks",2026-02-02T12:29:55.141Z,177003539514100
"Flop:  [2♠, 7♦, 10♣]",2026-02-02T12:29:52.881Z,177003539288100
"""dismal @ MCmjCniXJd"" calls 60",2026-02-02T12:29:52.044Z,177003539204400
"""Hibari @ gG60J3OV2j"" raises to 60",2026-02-02T12:29:49.893Z,177003538989300
"""dismal @ MCmjCniXJd"" calls 20",2026-02-02T12:29:43.661Z,177003538366100
"""するたん @ vVo9VdBVBm"" folds",2026-02-02T12:29:37.771Z,177003537777100
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2026-02-02T12:29:35.665Z,177003537566507
"""dismal @ MCmjCniXJd"" posts a small blind of 10",2026-02-02T12:29:35.665Z,177003537566506
"Player stacks: #1 ""するたん @ vVo9VdBVBm"" (1862) | #3 ""dismal @ MCmjCniXJd"" (983) | #10 ""Hibari @ gG60J3OV2j"" (2010)",2026-02-02T12:29:35.665Z,177003537566502
"-- starting hand #50 (id: haavusketjcv)  (No Limit Texas Hold'em) (dealer: ""するたん @ vVo9VdBVBm"") --",2026-02-02T12:29:35.665Z,177003537566501
"The player ""AontheRiver @ yokMVzYG_q"" quits the game with a stack of 3824.",2026-02-02T12:29:35.665Z,177003537566500
"-- ending hand #49 --",2026-02-02T12:29:32.758Z,177003537275802
"""AontheRiver @ yokMVzYG_q"" collected 50 from pot",2026-02-02T12:29:32.758Z,177003537275801
"Uncalled bet of 20 returned to ""AontheRiver @ yokMVzYG_q""",2026-02-02T12:29:32.758Z,177003537275800
"""dismal @ MCmjCniXJd"" folds",2026-02-02T12:29:31.904Z,177003537190400
"""するたん @ vVo9VdBVBm"" folds",2026-02-02T12:29:28.809Z,177003536880900
"""Hibari @ gG60J3OV2j"" folds",2026-02-02T12:29:27.776Z,177003536777600
"""AontheRiver @ yokMVzYG_q"" raises to 40",2026-02-02T12:29:25.972Z,177003536597200
"""dismal @ MCmjCniXJd"" posts a big blind of 20",2026-02-02T12:29:22.498Z,177003536249807
"""するたん @ vVo9VdBVBm"" posts a small blind of 10",2026-02-02T12:29:22.498Z,177003536249806
"Player stacks: #1 ""するたん @ vVo9VdBVBm"" (1872) | #3 ""dismal @ MCmjCniXJd"" (1003) | #5 ""AontheRiver @ yokMVzYG_q"" (3794) | #10 ""Hibari @ gG60J3OV2j"" (2010)",2026-02-02T12:29:22.498Z,177003536249801
"-- starting hand #49 (id: r159g67ag7jp)  (No Limit Texas Hold'em) (dealer: ""Hibari @ gG60J3OV2j"") --",2026-02-02T12:29:22.498Z,177003536249800
"-- ending hand #48 --",2026-02-02T12:29:19.577Z,177003535957702
"""Hibari @ gG60J3OV2j"" collected 460 from pot",2026-02-02T12:29:19.577Z,177003535957701
"Uncalled bet of 580 returned to ""Hibari @ gG60J3OV2j""",2026-02-02T12:29:19.577Z,177003535957700
"""dismal @ MCmjCniXJd"" folds",2026-02-02T12:29:18.742Z,177003535874200
"""Hibari @ gG60J3OV2j"" bets 580",2026-02-02T12:28:24.012Z,177003530401200
"River: J♦, 6♣, J♠, 6♦ [K♠]",2026-02-02T12:28:03.497Z,177003528349700
"""dismal @ MCmjCniXJd"" checks",2026-02-02T12:28:02.676Z,177003528267600
"""Hibari @ gG60J3OV2j"" checks",2026-02-02T12:27:52.357Z,177003527235700
"Turn: J♦, 6♣, J♠ [6♦]",2026-02-02T12:27:29.529Z,177003524952900
"""dismal @ MCmjCniXJd"" checks",2026-02-02T12:27:28.721Z,177003524872100
"""Hibari @ gG60J3OV2j"" checks",2026-02-02T12:27:21.515Z,177003524151500
"Flop:  [J♦, 6♣, J♠]",2026-02-02T12:27:06.877Z,177003522687700
"""dismal @ MCmjCniXJd"" calls 220",2026-02-02T12:27:05.987Z,177003522598700
"""するたん @ vVo9VdBVBm"" folds",2026-02-02T12:26:59.664Z,177003521966400
"""Hibari @ gG60J3OV2j"" raises to 220",2026-02-02T12:26:58.603Z,177003521860300
"""AontheRiver @ yokMVzYG_q"" folds",2026-02-02T12:26:39.026Z,177003519902600
"""dismal @ MCmjCniXJd"" raises to 60",2026-02-02T12:26:38.038Z,177003519803800
"""するたん @ vVo9VdBVBm"" posts a big blind of 20",2026-02-02T12:26:34.818Z,177003519481807
"""Hibari @ gG60J3OV2j"" posts a small blind of 10",2026-02-02T12:26:34.818Z,177003519481806
"Player stacks: #1 ""するたん @ vVo9VdBVBm"" (1892) | #3 ""dismal @ MCmjCniXJd"" (1223) | #5 ""AontheRiver @ yokMVzYG_q"" (3794) | #10 ""Hibari @ gG60J3OV2j"" (1770)",2026-02-02T12:26:34.818Z,177003519481801
"-- starting hand #48 (id: ulrhxqbb70cf)  (No Limit Texas Hold'em) (dealer: ""AontheRiver @ yokMVzYG_q"") --",2026-02-02T12:26:34.818Z,177003519481800
"-- ending hand #47 --",2026-02-02T12:26:31.835Z,177003519183502
"""するたん @ vVo9VdBVBm"" collected 50 from pot",2026-02-02T12:26:31.835Z,177003519183501
"Uncalled bet of 30 returned to ""するたん @ vVo9VdBVBm""",2026-02-02T12:26:31.835Z,177003519183500
"""Hibari @ gG60J3OV2j"" folds",2026-02-02T12:26:31.010Z,177003519101000
"""AontheRiver @ yokMVzYG_q"" folds",2026-02-02T12:26:29.921Z,177003518992100
"""dismal @ MCmjCniXJd"" folds",2026-02-02T12:26:27.688Z,177003518768800
"""するたん @ vVo9VdBVBm"" raises to 50",2026-02-02T12:26:26.096Z,177003518609600
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2026-02-02T12:26:20.462Z,177003518046207
"""AontheRiver @ yokMVzYG_q"" posts a small blind of 10",2026-02-02T12:26:20.462Z,177003518046206
"Player stacks: #1 ""するたん @ vVo9VdBVBm"" (1862) | #3 ""dismal @ MCmjCniXJd"" (1223) | #5 ""AontheRiver @ yokMVzYG_q"" (3804) | #10 ""Hibari @ gG60J3OV2j"" (1790)",2026-02-02T12:26:20.462Z,177003518046201
"-- starting hand #47 (id: tzeq71hxpsk4)  (No Limit Texas Hold'em) (dealer: ""dismal @ MCmjCniXJd"") --",2026-02-02T12:26:20.462Z,177003518046200
"-- ending hand #46 --",2026-02-02T12:26:17.549Z,177003517754902
"""AontheRiver @ yokMVzYG_q"" collected 20 from pot",2026-02-02T12:26:17.549Z,177003517754901
"Uncalled bet of 10 returned to ""AontheRiver @ yokMVzYG_q""",2026-02-02T12:26:17.549Z,177003517754900
"""dismal @ MCmjCniXJd"" folds",2026-02-02T12:26:16.744Z,177003517674400
"""するたん @ vVo9VdBVBm"" folds",2026-02-02T12:26:12.164Z,177003517216400
"""Hibari @ gG60J3OV2j"" folds",2026-02-02T12:26:11.133Z,177003517113300
"""AontheRiver @ yokMVzYG_q"" posts a big blind of 20",2026-02-02T12:26:09.220Z,177003516922007
"""dismal @ MCmjCniXJd"" posts a small blind of 10",2026-02-02T12:26:09.220Z,177003516922006
"Player stacks: #1 ""するたん @ vVo9VdBVBm"" (1862) | #3 ""dismal @ MCmjCniXJd"" (1233) | #5 ""AontheRiver @ yokMVzYG_q"" (3794) | #10 ""Hibari @ gG60J3OV2j"" (1790)",2026-02-02T12:26:09.220Z,177003516922001
"-- starting hand #46 (id: kh2okncjn4hd)  (No Limit Texas Hold'em) (dealer: ""するたん @ vVo9VdBVBm"") --",2026-02-02T12:26:09.220Z,177003516922000
"-- ending hand #45 --",2026-02-02T12:26:06.254Z,177003516625402
"""dismal @ MCmjCniXJd"" collected 120 from pot",2026-02-02T12:26:06.254Z,177003516625401
"Uncalled bet of 160 returned to ""dismal @ MCmjCniXJd""",2026-02-02T12:26:06.254Z,177003516625400
"""するたん @ vVo9VdBVBm"" folds",2026-02-02T12:26:05.445Z,177003516544500
"""AontheRiver @ yokMVzYG_q"" folds",2026-02-02T12:25:58.285Z,177003515828500
"""dismal @ MCmjCniXJd"" raises to 200",2026-02-02T12:25:56.614Z,177003515661400
"""するたん @ vVo9VdBVBm"" calls 40",2026-02-02T12:25:44.824Z,177003514482400
"""Hibari @ gG60J3OV2j"" folds",2026-02-02T12:25:39.653Z,177003513965300
"""AontheRiver @ yokMVzYG_q"" raises to 40",2026-02-02T12:25:38.626Z,177003513862600
"""dismal @ MCmjCniXJd"" posts a big blind of 20",2026-02-02T12:25:36.220Z,177003513622007
"""するたん @ vVo9VdBVBm"" posts a small blind of 10",2026-02-02T12:25:36.220Z,177003513622006
"Player stacks: #1 ""するたん @ vVo9VdBVBm"" (1902) | #3 ""dismal @ MCmjCniXJd"" (1153) | #5 ""AontheRiver @ yokMVzYG_q"" (3834) | #10 ""Hibari @ gG60J3OV2j"" (1790)",2026-02-02T12:25:36.220Z,177003513622001
"-- starting hand #45 (id: rgsatb6tlyoy)  (No Limit Texas Hold'em) (dealer: ""Hibari @ gG60J3OV2j"") --",2026-02-02T12:25:36.220Z,177003513622000
"-- ending hand #44 --",2026-02-02T12:25:33.309Z,177003513330902
"""Hibari @ gG60J3OV2j"" collected 100 from pot",2026-02-02T12:25:33.309Z,177003513330901
"Uncalled bet of 160 returned to ""Hibari @ gG60J3OV2j""",2026-02-02T12:25:33.309Z,177003513330900
"""AontheRiver @ yokMVzYG_q"" folds",2026-02-02T12:25:32.461Z,177003513246100
"""するたん @ vVo9VdBVBm"" folds",2026-02-02T12:25:31.425Z,177003513142500
"""Hibari @ gG60J3OV2j"" raises to 200",2026-02-02T12:25:30.352Z,177003513035200
"""AontheRiver @ yokMVzYG_q"" raises to 40",2026-02-02T12:24:51.170Z,177003509117000
"""dismal @ MCmjCniXJd"" folds",2026-02-02T12:24:48.922Z,177003508892200
"""するたん @ vVo9VdBVBm"" posts a big blind of 20",2026-02-02T12:24:46.667Z,177003508666707
"""Hibari @ gG60J3OV2j"" posts a small blind of 10",2026-02-02T12:24:46.667Z,177003508666706
"Player stacks: #1 ""するたん @ vVo9VdBVBm"" (1922) | #3 ""dismal @ MCmjCniXJd"" (1153) | #5 ""AontheRiver @ yokMVzYG_q"" (3874) | #10 ""Hibari @ gG60J3OV2j"" (1730)",2026-02-02T12:24:46.667Z,177003508666701
"-- starting hand #44 (id: dkw9rg7lllmn)  (No Limit Texas Hold'em) (dealer: ""AontheRiver @ yokMVzYG_q"") --",2026-02-02T12:24:46.667Z,177003508666700
"-- ending hand #43 --",2026-02-02T12:24:43.745Z,177003508374502
"""AontheRiver @ yokMVzYG_q"" collected 160 from pot",2026-02-02T12:24:43.745Z,177003508374501
"Uncalled bet of 80 returned to ""AontheRiver @ yokMVzYG_q""",2026-02-02T12:24:43.745Z,177003508374500
"""Hibari @ gG60J3OV2j"" folds",2026-02-02T12:24:42.942Z,177003508294200
"""AontheRiver @ yokMVzYG_q"" bets 80",2026-02-02T12:24:39.502Z,177003507950200
"River: 8♦, 6♣, 7♦, J♠ [10♠]",2026-02-02T12:24:17.109Z,177003505710900
"""Hibari @ gG60J3OV2j"" checks",2026-02-02T12:24:16.303Z,177003505630300
"""AontheRiver @ yokMVzYG_q"" checks",2026-02-02T12:24:10.193Z,177003505019300
"Turn: 8♦, 6♣, 7♦ [J♠]",2026-02-02T12:24:08.260Z,177003504826000
"""AontheRiver @ yokMVzYG_q"" calls 32",2026-02-02T12:24:07.447Z,177003504744700
"""Hibari @ gG60J3OV2j"" bets 32",2026-02-02T12:23:55.192Z,177003503519200
"""AontheRiver @ yokMVzYG_q"" checks",2026-02-02T12:23:42.072Z,177003502207200
"Flop:  [8♦, 6♣, 7♦]",2026-02-02T12:23:36.476Z,177003501647600
