entry,at,order
"The player ""Guest @ acTaYYRnN7"" passed the room ownership to ""翔斗 @ 4_RBXVU9-k"".",2026-03-09T14:04:22.819Z,177306506281900
"The player ""Fuku @ 4Yga_zmdmi"" quits the game with a stack of 2625.",2026-03-09T14:02:18.160Z,177306493816000
"The player ""roi @ 5WrLc1IxEE"" quits the game with a stack of 2000.",2026-03-09T14:01:10.957Z,177306487095700
"The player ""つー @ bqEtnO6wX9"" quits the game with a stack of 2885.",2026-03-09T14:00:40.059Z,177306484005900
"The player ""ElNino @ byYrvu0Qdy"" quits the game with a stack of 2679.",2026-03-09T14:00:29.635Z,177306482963500
"The player ""翔斗 @ 4_RBXVU9-k"" stand up with the stack of 2140.",2026-03-09T14:00:29.005Z,177306482900500
"-- ending hand #114 --",2026-03-09T14:00:20.056Z,177306482005604
"""Fuku @ 4Yga_zmdmi"" collected 100 from pot with Pair, 6's (combination: Q♥, K♦, A♦, 6♠, 6♦)",2026-03-09T14:00:20.056Z,177306482005603
"""ElNino @ byYrvu0Qdy"" collected 100 from pot with Pair, 6's (combination: Q♥, K♦, A♥, 6♠, 6♦)",2026-03-09T14:00:20.056Z,177306482005602
"""ElNino @ byYrvu0Qdy"" shows a J♥, A♥.",2026-03-09T14:00:20.056Z,177306482005601
"""Fuku @ 4Yga_zmdmi"" shows a A♦, J♠.",2026-03-09T14:00:20.056Z,177306482005600
"""ElNino @ byYrvu0Qdy"" checks",2026-03-09T14:00:19.228Z,177306481922800
"""Fuku @ 4Yga_zmdmi"" checks",2026-03-09T14:00:16.621Z,177306481662100
"River: Q♥, 6♠, 7♦, 6♦ [K♦]",2026-03-09T14:00:06.326Z,177306480632600
"""ElNino @ byYrvu0Qdy"" checks",2026-03-09T14:00:05.492Z,177306480549200
"The admin ""Guest @ acTaYYRnN7"" enqueued the game stop on next hand.",2026-03-09T14:00:04.444Z,177306480444400
"""Fuku @ 4Yga_zmdmi"" checks",2026-03-09T14:00:02.683Z,177306480268300
"Turn: Q♥, 6♠, 7♦ [6♦]",2026-03-09T13:59:55.102Z,177306479510200
"""Fuku @ 4Yga_zmdmi"" calls 40",2026-03-09T13:59:54.263Z,177306479426300
"""ElNino @ byYrvu0Qdy"" bets 40",2026-03-09T13:59:51.579Z,177306479157900
"""Fuku @ 4Yga_zmdmi"" checks",2026-03-09T13:59:43.641Z,177306478364100
"Flop:  [Q♥, 6♠, 7♦]",2026-03-09T13:59:39.386Z,177306477938600
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:59:38.556Z,177306477855600
"""Fuku @ 4Yga_zmdmi"" calls 50",2026-03-09T13:59:35.810Z,177306477581000
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T13:59:25.841Z,177306476584100
"""ElNino @ byYrvu0Qdy"" raises to 50",2026-03-09T13:59:21.828Z,177306476182800
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:59:11.654Z,177306475165400
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-03-09T13:59:10.188Z,177306475018811
"""Fuku @ 4Yga_zmdmi"" posts a small blind of 10",2026-03-09T13:59:10.188Z,177306475018810
"Player stacks: #2 ""ElNino @ byYrvu0Qdy"" (2669) | #3 ""roi @ 5WrLc1IxEE"" (2000) | #5 ""Fuku @ 4Yga_zmdmi"" (2615) | #9 ""翔斗 @ 4_RBXVU9-k"" (2160) | #10 ""つー @ bqEtnO6wX9"" (2885)",2026-03-09T13:59:10.188Z,177306475018804
"-- starting hand #114 (id: 2qcjsrim6gmp)  No Limit Texas Hold'em (dealer: ""roi @ 5WrLc1IxEE"") --",2026-03-09T13:59:10.188Z,177306475018803
"The player ""utos @ g0yui9LXM4"" quits the game with a stack of 3000.",2026-03-09T13:59:10.188Z,177306475018802
"The admin updated the player ""roi @ 5WrLc1IxEE"" stack from 1280 to 2000.",2026-03-09T13:59:10.188Z,177306475018801
"The admin updated the player ""utos @ g0yui9LXM4"" stack from 4110 to 3000.",2026-03-09T13:59:10.188Z,177306475018800
"-- ending hand #113 --",2026-03-09T13:59:02.186Z,177306474218602
"""roi @ 5WrLc1IxEE"" collected 640 from pot with Straight, A High on the second run  (combination: 10♣, J♣, Q♣, K♥, A♥)",2026-03-09T13:59:02.186Z,177306474218601
"""roi @ 5WrLc1IxEE"" collected 640 from pot with Straight, A High (combination: 10♣, J♣, Q♣, K♥, A♥)",2026-03-09T13:59:02.186Z,177306474218600
"River (second run): 10♣, K♥, 8♥, A♥ [8♦]",2026-03-09T13:58:58.158Z,177306473815800
"River: 10♣, K♥, 8♥, A♥ [3♣]",2026-03-09T13:58:54.125Z,177306473412500
"""roi @ 5WrLc1IxEE"" shows a J♣, Q♣.",2026-03-09T13:58:50.122Z,177306473012202
"""utos @ g0yui9LXM4"" shows a K♣, A♠.",2026-03-09T13:58:50.122Z,177306473012201
"Uncalled bet of 4110 returned to ""utos @ g0yui9LXM4""",2026-03-09T13:58:50.122Z,177306473012200
"The board will run it twice due the game settings.",2026-03-09T13:58:49.293Z,177306472929301
"""roi @ 5WrLc1IxEE"" calls 500 and go all in",2026-03-09T13:58:49.293Z,177306472929300
"""utos @ g0yui9LXM4"" raises to 4610 and go all in",2026-03-09T13:58:42.532Z,177306472253200
"""roi @ 5WrLc1IxEE"" bets 140",2026-03-09T13:58:39.542Z,177306471954200
"Turn: 10♣, K♥, 8♥ [A♥]",2026-03-09T13:58:27.264Z,177306470726400
"""roi @ 5WrLc1IxEE"" calls 70",2026-03-09T13:58:26.440Z,177306470644000
"""utos @ g0yui9LXM4"" bets 70",2026-03-09T13:58:10.299Z,177306469029900
"""roi @ 5WrLc1IxEE"" checks",2026-03-09T13:58:06.288Z,177306468628800
"Flop:  [10♣, K♥, 8♥]",2026-03-09T13:57:48.338Z,177306466833800
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-09T13:57:47.519Z,177306466751900
"""roi @ 5WrLc1IxEE"" calls 60",2026-03-09T13:57:44.161Z,177306466416100
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:57:30.501Z,177306465050100
"""utos @ g0yui9LXM4"" raises to 60",2026-03-09T13:57:29.491Z,177306464949100
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:57:19.720Z,177306463972000
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:57:18.262Z,177306463826200
"WARNING: the admin queued the stack change for the player ""roi @ 5WrLc1IxEE"" reseting to 2000 chips in the next hand.",2026-03-09T13:57:04.911Z,177306462491100
"WARNING: the admin queued the stack change for the player ""utos @ g0yui9LXM4"" reseting to 3000 chips in the next hand.",2026-03-09T13:57:03.867Z,177306462386700
"""Fuku @ 4Yga_zmdmi"" posts a big blind of 20",2026-03-09T13:57:02.023Z,177306462202309
"""roi @ 5WrLc1IxEE"" posts a small blind of 10",2026-03-09T13:57:02.023Z,177306462202308
"Player stacks: #1 ""utos @ g0yui9LXM4"" (4740) | #2 ""ElNino @ byYrvu0Qdy"" (2669) | #3 ""roi @ 5WrLc1IxEE"" (630) | #5 ""Fuku @ 4Yga_zmdmi"" (2635) | #9 ""翔斗 @ 4_RBXVU9-k"" (2160) | #10 ""つー @ bqEtnO6wX9"" (2885)",2026-03-09T13:57:02.023Z,177306462202301
"-- starting hand #113 (id: hhbz552irw4o)  No Limit Texas Hold'em (dealer: ""ElNino @ byYrvu0Qdy"") --",2026-03-09T13:57:02.023Z,177306462202300
"-- ending hand #112 --",2026-03-09T13:56:55.933Z,177306461593303
"""roi @ 5WrLc1IxEE"" shows a 9♥, 6♥.",2026-03-09T13:56:55.933Z,177306461593302
"""utos @ g0yui9LXM4"" collected 4740 from pot with Straight, A High (combination: 10♠, J♥, Q♥, K♣, A♠)",2026-03-09T13:56:55.933Z,177306461593301
"""utos @ g0yui9LXM4"" shows a A♠, J♣.",2026-03-09T13:56:55.933Z,177306461593300
"""roi @ 5WrLc1IxEE"" calls 1860",2026-03-09T13:56:55.073Z,177306461507300
"""utos @ g0yui9LXM4"" raises to 1860 and go all in",2026-03-09T13:56:51.505Z,177306461150500
"""roi @ 5WrLc1IxEE"" bets 1020",2026-03-09T13:56:48.656Z,177306460865600
"River: K♣, Q♥, 10♠, J♥ [5♠]",2026-03-09T13:56:42.645Z,177306460264500
"""roi @ 5WrLc1IxEE"" calls 400",2026-03-09T13:56:41.803Z,177306460180300
"""utos @ g0yui9LXM4"" raises to 400",2026-03-09T13:56:38.042Z,177306459804200
"""roi @ 5WrLc1IxEE"" bets 60",2026-03-09T13:56:27.866Z,177306458786600
"Turn: K♣, Q♥, 10♠ [J♥]",2026-03-09T13:56:10.962Z,177306457096200
"""roi @ 5WrLc1IxEE"" calls 55",2026-03-09T13:56:10.123Z,177306457012300
"""utos @ g0yui9LXM4"" bets 55",2026-03-09T13:55:45.909Z,177306454590900
"""roi @ 5WrLc1IxEE"" checks",2026-03-09T13:55:37.893Z,177306453789300
"Flop:  [K♣, Q♥, 10♠]",2026-03-09T13:55:34.721Z,177306453472100
"""roi @ 5WrLc1IxEE"" calls 50",2026-03-09T13:55:33.906Z,177306453390600
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:55:13.832Z,177306451383200
"""utos @ g0yui9LXM4"" raises to 50",2026-03-09T13:55:12.777Z,177306451277700
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:55:09.827Z,177306450982700
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:55:04.851Z,177306450485100
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-09T13:55:01.576Z,177306450157600
"""roi @ 5WrLc1IxEE"" posts a big blind of 20",2026-03-09T13:54:59.453Z,177306449945309
"""ElNino @ byYrvu0Qdy"" posts a small blind of 10",2026-03-09T13:54:59.453Z,177306449945308
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2365) | #2 ""ElNino @ byYrvu0Qdy"" (2679) | #3 ""roi @ 5WrLc1IxEE"" (2995) | #5 ""Fuku @ 4Yga_zmdmi"" (2635) | #9 ""翔斗 @ 4_RBXVU9-k"" (2160) | #10 ""つー @ bqEtnO6wX9"" (2885)",2026-03-09T13:54:59.453Z,177306449945301
"-- starting hand #112 (id: u8jlr5ohzqnn)  No Limit Texas Hold'em (dealer: ""utos @ g0yui9LXM4"") --",2026-03-09T13:54:59.453Z,177306449945300
"-- ending hand #111 --",2026-03-09T13:54:56.537Z,177306449653702
"""Fuku @ 4Yga_zmdmi"" collected 50 from pot",2026-03-09T13:54:56.537Z,177306449653701
"Uncalled bet of 30 returned to ""Fuku @ 4Yga_zmdmi""",2026-03-09T13:54:56.537Z,177306449653700
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:54:55.716Z,177306449571600
"""utos @ g0yui9LXM4"" folds",2026-03-09T13:54:54.709Z,177306449470900
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:54:52.006Z,177306449200600
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:54:48.440Z,177306448844000
"""Fuku @ 4Yga_zmdmi"" raises to 50",2026-03-09T13:54:47.419Z,177306448741900
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T13:54:35.338Z,177306447533800
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-03-09T13:54:19.758Z,177306445975809
"""utos @ g0yui9LXM4"" posts a small blind of 10",2026-03-09T13:54:19.758Z,177306445975808
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2375) | #2 ""ElNino @ byYrvu0Qdy"" (2699) | #3 ""roi @ 5WrLc1IxEE"" (2995) | #5 ""Fuku @ 4Yga_zmdmi"" (2605) | #9 ""翔斗 @ 4_RBXVU9-k"" (2160) | #10 ""つー @ bqEtnO6wX9"" (2885)",2026-03-09T13:54:19.758Z,177306445975801
"-- starting hand #111 (id: zjgzxogu4ggf)  No Limit Texas Hold'em (dealer: ""つー @ bqEtnO6wX9"") --",2026-03-09T13:54:19.758Z,177306445975800
"-- ending hand #110 --",2026-03-09T13:54:16.805Z,177306445680502
"""utos @ g0yui9LXM4"" collected 20 from pot",2026-03-09T13:54:16.805Z,177306445680501
"Uncalled bet of 10 returned to ""utos @ g0yui9LXM4""",2026-03-09T13:54:16.805Z,177306445680500
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:54:15.956Z,177306445595600
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:54:14.951Z,177306445495100
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-09T13:54:10.470Z,177306445047000
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T13:54:07.874Z,177306444787400
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:54:03.151Z,177306444315100
"""utos @ g0yui9LXM4"" posts a big blind of 20",2026-03-09T13:53:59.035Z,177306443903509
"""つー @ bqEtnO6wX9"" posts a small blind of 10",2026-03-09T13:53:59.035Z,177306443903508
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2365) | #2 ""ElNino @ byYrvu0Qdy"" (2699) | #3 ""roi @ 5WrLc1IxEE"" (2995) | #5 ""Fuku @ 4Yga_zmdmi"" (2605) | #9 ""翔斗 @ 4_RBXVU9-k"" (2160) | #10 ""つー @ bqEtnO6wX9"" (2895)",2026-03-09T13:53:59.035Z,177306443903501
"-- starting hand #110 (id: dg24iq51gfoi)  No Limit Texas Hold'em (dealer: ""翔斗 @ 4_RBXVU9-k"") --",2026-03-09T13:53:59.035Z,177306443903500
"-- ending hand #109 --",2026-03-09T13:53:56.120Z,177306443612002
"""roi @ 5WrLc1IxEE"" collected 50 from pot",2026-03-09T13:53:56.120Z,177306443612001
"Uncalled bet of 25 returned to ""roi @ 5WrLc1IxEE""",2026-03-09T13:53:56.120Z,177306443612000
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:53:55.250Z,177306443525000
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:53:46.618Z,177306442661800
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-09T13:53:45.592Z,177306442559200
"""roi @ 5WrLc1IxEE"" raises to 45",2026-03-09T13:53:42.548Z,177306442254800
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:53:31.988Z,177306441198800
"""utos @ g0yui9LXM4"" folds",2026-03-09T13:53:27.537Z,177306440753700
"""つー @ bqEtnO6wX9"" posts a big blind of 20",2026-03-09T13:53:25.768Z,177306440576809
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-03-09T13:53:25.768Z,177306440576808
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2365) | #2 ""ElNino @ byYrvu0Qdy"" (2699) | #3 ""roi @ 5WrLc1IxEE"" (2965) | #5 ""Fuku @ 4Yga_zmdmi"" (2605) | #9 ""翔斗 @ 4_RBXVU9-k"" (2170) | #10 ""つー @ bqEtnO6wX9"" (2915)",2026-03-09T13:53:25.768Z,177306440576801
"-- starting hand #109 (id: raueuxobp56m)  No Limit Texas Hold'em (dealer: ""Fuku @ 4Yga_zmdmi"") --",2026-03-09T13:53:25.768Z,177306440576800
"-- ending hand #108 --",2026-03-09T13:53:22.859Z,177306440285902
"""roi @ 5WrLc1IxEE"" collected 50 from pot",2026-03-09T13:53:22.859Z,177306440285901
"Uncalled bet of 25 returned to ""roi @ 5WrLc1IxEE""",2026-03-09T13:53:22.859Z,177306440285900
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:53:21.966Z,177306440196600
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-09T13:53:18.676Z,177306439867600
"""roi @ 5WrLc1IxEE"" raises to 45",2026-03-09T13:53:16.820Z,177306439682000
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:53:12.494Z,177306439249400
"""utos @ g0yui9LXM4"" folds",2026-03-09T13:52:58.165Z,177306437816500
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:52:57.056Z,177306437705600
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-03-09T13:52:54.242Z,177306437424209
"""Fuku @ 4Yga_zmdmi"" posts a small blind of 10",2026-03-09T13:52:54.242Z,177306437424208
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2365) | #2 ""ElNino @ byYrvu0Qdy"" (2699) | #3 ""roi @ 5WrLc1IxEE"" (2935) | #5 ""Fuku @ 4Yga_zmdmi"" (2615) | #9 ""翔斗 @ 4_RBXVU9-k"" (2190) | #10 ""つー @ bqEtnO6wX9"" (2915)",2026-03-09T13:52:54.242Z,177306437424201
"-- starting hand #108 (id: aikejqabc3oz)  No Limit Texas Hold'em (dealer: ""roi @ 5WrLc1IxEE"") --",2026-03-09T13:52:54.242Z,177306437424200
"-- ending hand #107 --",2026-03-09T13:52:51.327Z,177306437132702
"""roi @ 5WrLc1IxEE"" collected 90 from pot",2026-03-09T13:52:51.327Z,177306437132701
"Uncalled bet of 45 returned to ""roi @ 5WrLc1IxEE""",2026-03-09T13:52:51.327Z,177306437132700
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-09T13:52:50.510Z,177306437051000
"""roi @ 5WrLc1IxEE"" bets 45",2026-03-09T13:52:43.177Z,177306436317700
"Flop:  [K♥, Q♦, A♥]",2026-03-09T13:52:31.217Z,177306435121700
"""Fuku @ 4Yga_zmdmi"" calls 45",2026-03-09T13:52:30.411Z,177306435041100
"""roi @ 5WrLc1IxEE"" raises to 45",2026-03-09T13:52:27.572Z,177306434757200
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:52:12.587Z,177306433258700
"""utos @ g0yui9LXM4"" folds",2026-03-09T13:52:11.543Z,177306433154300
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:52:10.399Z,177306433039900
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:52:09.347Z,177306432934700
"""Fuku @ 4Yga_zmdmi"" posts a big blind of 20",2026-03-09T13:51:45.910Z,177306430591009
"""roi @ 5WrLc1IxEE"" posts a small blind of 10",2026-03-09T13:51:45.910Z,177306430591008
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2365) | #2 ""ElNino @ byYrvu0Qdy"" (2699) | #3 ""roi @ 5WrLc1IxEE"" (2890) | #5 ""Fuku @ 4Yga_zmdmi"" (2660) | #9 ""翔斗 @ 4_RBXVU9-k"" (2190) | #10 ""つー @ bqEtnO6wX9"" (2915)",2026-03-09T13:51:45.910Z,177306430591001
"-- starting hand #107 (id: ixq1om8yufdm)  No Limit Texas Hold'em (dealer: ""ElNino @ byYrvu0Qdy"") --",2026-03-09T13:51:45.910Z,177306430591000
"-- ending hand #106 --",2026-03-09T13:51:39.906Z,177306429990602
"""utos @ g0yui9LXM4"" collected 700 from pot with Pair, A's (combination: 5♣, 7♣, 8♠, A♣, A♦)",2026-03-09T13:51:39.906Z,177306429990601
"""utos @ g0yui9LXM4"" shows a A♣, 5♣.",2026-03-09T13:51:39.906Z,177306429990600
"""つー @ bqEtnO6wX9"" calls 185",2026-03-09T13:51:39.047Z,177306429904700
"""utos @ g0yui9LXM4"" bets 185",2026-03-09T13:51:35.671Z,177306429567100
"""つー @ bqEtnO6wX9"" checks",2026-03-09T13:51:23.545Z,177306428354500
"River: 3♦, 7♣, 2♠, 8♠ [A♦]",2026-03-09T13:51:21.019Z,177306428101900
"""utos @ g0yui9LXM4"" checks",2026-03-09T13:51:20.212Z,177306428021200
"""つー @ bqEtnO6wX9"" checks",2026-03-09T13:51:02.136Z,177306426213600
"Turn: 3♦, 7♣, 2♠ [8♠]",2026-03-09T13:50:55.665Z,177306425566500
"""utos @ g0yui9LXM4"" checks",2026-03-09T13:50:54.739Z,177306425473900
"""つー @ bqEtnO6wX9"" checks",2026-03-09T13:50:35.522Z,177306423552200
"Flop:  [3♦, 7♣, 2♠]",2026-03-09T13:50:33.632Z,177306423363200
"""つー @ bqEtnO6wX9"" calls 150",2026-03-09T13:50:32.772Z,177306423277200
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T13:50:29.836Z,177306422983600
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:50:11.795Z,177306421179500
"""utos @ g0yui9LXM4"" raises to 150",2026-03-09T13:50:10.773Z,177306421077300
"""つー @ bqEtnO6wX9"" raises to 40",2026-03-09T13:50:05.946Z,177306420594600
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:50:02.740Z,177306420274000
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-09T13:49:59.012Z,177306419901200
"""roi @ 5WrLc1IxEE"" posts a big blind of 20",2026-03-09T13:49:56.432Z,177306419643209
"""ElNino @ byYrvu0Qdy"" posts a small blind of 10",2026-03-09T13:49:56.432Z,177306419643208
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2000) | #2 ""ElNino @ byYrvu0Qdy"" (2709) | #3 ""roi @ 5WrLc1IxEE"" (2910) | #5 ""Fuku @ 4Yga_zmdmi"" (2660) | #9 ""翔斗 @ 4_RBXVU9-k"" (2190) | #10 ""つー @ bqEtnO6wX9"" (3250)",2026-03-09T13:49:56.432Z,177306419643201
"-- starting hand #106 (id: d5ss4wgsmgtq)  No Limit Texas Hold'em (dealer: ""utos @ g0yui9LXM4"") --",2026-03-09T13:49:56.432Z,177306419643200
"-- ending hand #105 --",2026-03-09T13:49:53.517Z,177306419351702
"""Fuku @ 4Yga_zmdmi"" collected 50 from pot",2026-03-09T13:49:53.517Z,177306419351701
"Uncalled bet of 25 returned to ""Fuku @ 4Yga_zmdmi""",2026-03-09T13:49:53.517Z,177306419351700
"""ElNino @ byYrvu0Qdy"" folds",2026-03-09T13:49:52.708Z,177306419270800
"""utos @ g0yui9LXM4"" folds",2026-03-09T13:49:51.672Z,177306419167200
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:49:46.413Z,177306418641300
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:49:45.030Z,177306418503000
"""Fuku @ 4Yga_zmdmi"" raises to 45",2026-03-09T13:49:43.983Z,177306418398300
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T13:49:39.524Z,177306417952400
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-03-09T13:49:32.822Z,177306417282209
"""utos @ g0yui9LXM4"" posts a small blind of 10",2026-03-09T13:49:32.822Z,177306417282208
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2010) | #2 ""ElNino @ byYrvu0Qdy"" (2729) | #3 ""roi @ 5WrLc1IxEE"" (2910) | #5 ""Fuku @ 4Yga_zmdmi"" (2630) | #9 ""翔斗 @ 4_RBXVU9-k"" (2190) | #10 ""つー @ bqEtnO6wX9"" (3250)",2026-03-09T13:49:32.822Z,177306417282201
"-- starting hand #105 (id: myakwxxcuyqe)  No Limit Texas Hold'em (dealer: ""つー @ bqEtnO6wX9"") --",2026-03-09T13:49:32.822Z,177306417282200
"-- ending hand #104 --",2026-03-09T13:49:29.902Z,177306416990202
"""ElNino @ byYrvu0Qdy"" collected 50 from pot",2026-03-09T13:49:29.902Z,177306416990201
"Uncalled bet of 30 returned to ""ElNino @ byYrvu0Qdy""",2026-03-09T13:49:29.902Z,177306416990200
"""utos @ g0yui9LXM4"" folds",2026-03-09T13:49:29.080Z,177306416908000
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:49:25.654Z,177306416565400
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:49:23.583Z,177306416358300
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-09T13:49:19.839Z,177306415983900
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T13:49:17.457Z,177306415745700
"""ElNino @ byYrvu0Qdy"" raises to 50",2026-03-09T13:49:15.252Z,177306415525200
"""utos @ g0yui9LXM4"" posts a big blind of 20",2026-03-09T13:49:08.842Z,177306414884209
"""つー @ bqEtnO6wX9"" posts a small blind of 10",2026-03-09T13:49:08.842Z,177306414884208
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2030) | #2 ""ElNino @ byYrvu0Qdy"" (2699) | #3 ""roi @ 5WrLc1IxEE"" (2910) | #5 ""Fuku @ 4Yga_zmdmi"" (2630) | #9 ""翔斗 @ 4_RBXVU9-k"" (2190) | #10 ""つー @ bqEtnO6wX9"" (3260)",2026-03-09T13:49:08.842Z,177306414884201
"-- starting hand #104 (id: 8dcxziaomxxq)  No Limit Texas Hold'em (dealer: ""翔斗 @ 4_RBXVU9-k"") --",2026-03-09T13:49:08.842Z,177306414884200
"-- ending hand #103 --",2026-03-09T13:49:02.838Z,177306414283802
"""ElNino @ byYrvu0Qdy"" collected 330 from pot with Two Pair, Q's & 10's (combination: 9♠, 10♠, 10♥, Q♥, Q♣)",2026-03-09T13:49:02.838Z,177306414283801
"""ElNino @ byYrvu0Qdy"" shows a Q♥, Q♣.",2026-03-09T13:49:02.838Z,177306414283800
"""Fuku @ 4Yga_zmdmi"" checks",2026-03-09T13:49:02.025Z,177306414202500
"""ElNino @ byYrvu0Qdy"" checks",2026-03-09T13:48:59.147Z,177306413914700
"River: 9♠, 5♣, 10♠, 10♥ [7♠]",2026-03-09T13:48:53.396Z,177306413339600
"""Fuku @ 4Yga_zmdmi"" calls 50",2026-03-09T13:48:52.561Z,177306413256100
"""ElNino @ byYrvu0Qdy"" bets 50",2026-03-09T13:48:36.005Z,177306411600500
"Turn: 9♠, 5♣, 10♠ [10♥]",2026-03-09T13:48:22.337Z,177306410233700
"""Fuku @ 4Yga_zmdmi"" calls 50",2026-03-09T13:48:21.524Z,177306410152400
"""ElNino @ byYrvu0Qdy"" bets 50",2026-03-09T13:48:19.324Z,177306409932400
"Flop:  [9♠, 5♣, 10♠]",2026-03-09T13:48:11.867Z,177306409186700
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:48:11.061Z,177306409106100
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:48:10.034Z,177306409003400
"""Fuku @ 4Yga_zmdmi"" calls 50",2026-03-09T13:48:08.947Z,177306408894700
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T13:48:06.026Z,177306408602600
"""ElNino @ byYrvu0Qdy"" raises to 50",2026-03-09T13:47:37.333Z,177306405733300
"""utos @ g0yui9LXM4"" folds",2026-03-09T13:47:25.926Z,177306404592600
"""つー @ bqEtnO6wX9"" posts a big blind of 20",2026-03-09T13:47:24.010Z,177306404401009
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-03-09T13:47:24.010Z,177306404401008
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2030) | #2 ""ElNino @ byYrvu0Qdy"" (2519) | #3 ""roi @ 5WrLc1IxEE"" (2910) | #5 ""Fuku @ 4Yga_zmdmi"" (2780) | #9 ""翔斗 @ 4_RBXVU9-k"" (2200) | #10 ""つー @ bqEtnO6wX9"" (3280)",2026-03-09T13:47:24.010Z,177306404401001
"-- starting hand #103 (id: ftkz7b2todab)  No Limit Texas Hold'em (dealer: ""Fuku @ 4Yga_zmdmi"") --",2026-03-09T13:47:24.010Z,177306404401000
"-- ending hand #102 --",2026-03-09T13:47:21.069Z,177306404106902
"""翔斗 @ 4_RBXVU9-k"" collected 170 from pot",2026-03-09T13:47:21.069Z,177306404106901
"Uncalled bet of 100 returned to ""翔斗 @ 4_RBXVU9-k""",2026-03-09T13:47:21.069Z,177306404106900
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T13:47:20.253Z,177306404025300
"""つー @ bqEtnO6wX9"" folds",2026-03-09T13:47:04.912Z,177306402491200
"""翔斗 @ 4_RBXVU9-k"" raises to 120",2026-03-09T13:46:59.309Z,177306401930900
"""roi @ 5WrLc1IxEE"" bets 20",2026-03-09T13:46:34.586Z,177306399458600
"""つー @ bqEtnO6wX9"" checks",2026-03-09T13:46:24.640Z,177306398464000
"""翔斗 @ 4_RBXVU9-k"" checks",2026-03-09T13:46:20.400Z,177306398040000
