entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""かいる @ nPiUhQEVMi"".",2026-02-09T14:05:34.411Z,177064593441100
"The player ""ゴン02（江戸犬） @ AblUkPGGlZ"" quits the game with a stack of 2060.",2026-02-09T14:00:57.615Z,177064565761500
"The player ""zozozo @ I42BI18xq3"" quits the game with a stack of 3237.",2026-02-09T14:00:31.430Z,177064563143000
"The player ""zozozo @ I42BI18xq3"" stand up with the stack of 3237.",2026-02-09T14:00:25.822Z,177064562582200
"The player ""揚げもち @ 3liBhfdN10"" quits the game with a stack of 2000.",2026-02-09T14:00:24.287Z,177064562428700
"-- ending hand #59 --",2026-02-09T14:00:21.353Z,177064562135302
"""かいる @ nPiUhQEVMi"" collected 50 from pot",2026-02-09T14:00:21.353Z,177064562135301
"Uncalled bet of 20 returned to ""かいる @ nPiUhQEVMi""",2026-02-09T14:00:21.353Z,177064562135300
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T14:00:20.486Z,177064562048600
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T14:00:19.451Z,177064561945100
"""かいる @ nPiUhQEVMi"" raises to 40",2026-02-09T14:00:18.634Z,177064561863400
"""zozozo @ I42BI18xq3"" folds",2026-02-09T14:00:12.433Z,177064561243300
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T14:00:11.358Z,177064561135800
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:10.805Z,177064561080500
"""teish @ v-iN-1QQsm"" folds",2026-02-09T14:00:10.290Z,177064561029000
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a big blind of 20",2026-02-09T14:00:08.270Z,177064560827009
"""揚げもち @ 3liBhfdN10"" posts a small blind of 10",2026-02-09T14:00:08.270Z,177064560827008
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2080) | #5 ""teish @ v-iN-1QQsm"" (2470) | #6 ""Jongo @ fkdSdH_cyU"" (2240) | #7 ""zozozo @ I42BI18xq3"" (3237) | #9 ""かいる @ nPiUhQEVMi"" (3015) | #10 ""揚げもち @ 3liBhfdN10"" (2010)",2026-02-09T14:00:08.270Z,177064560827001
"-- starting hand #59 (id: teowt1kmwfik)  No Limit Texas Hold'em (dealer: ""かいる @ nPiUhQEVMi"") --",2026-02-09T14:00:08.270Z,177064560827000
"-- ending hand #58 --",2026-02-09T14:00:05.346Z,177064560534602
"""teish @ v-iN-1QQsm"" collected 290 from pot",2026-02-09T14:00:05.346Z,177064560534601
"Uncalled bet of 250 returned to ""teish @ v-iN-1QQsm""",2026-02-09T14:00:05.346Z,177064560534600
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T14:00:04.437Z,177064560443700
"""teish @ v-iN-1QQsm"" raises to 380",2026-02-09T13:59:12.937Z,177064555293700
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:58:41.887Z,177064552188700
"""かいる @ nPiUhQEVMi"" folds",2026-02-09T13:58:37.272Z,177064551727200
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:58:36.130Z,177064551613000
"""Jongo @ fkdSdH_cyU"" raises to 130",2026-02-09T13:58:35.097Z,177064551509700
"""teish @ v-iN-1QQsm"" raises to 40",2026-02-09T13:58:27.254Z,177064550725400
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:58:22.533Z,177064550253300
"""揚げもち @ 3liBhfdN10"" posts a big blind of 20",2026-02-09T13:58:20.157Z,177064550015709
"""かいる @ nPiUhQEVMi"" posts a small blind of 10",2026-02-09T13:58:20.157Z,177064550015708
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2080) | #5 ""teish @ v-iN-1QQsm"" (2310) | #6 ""Jongo @ fkdSdH_cyU"" (2370) | #7 ""zozozo @ I42BI18xq3"" (3237) | #9 ""かいる @ nPiUhQEVMi"" (3025) | #10 ""揚げもち @ 3liBhfdN10"" (2030)",2026-02-09T13:58:20.157Z,177064550015701
"-- starting hand #58 (id: gbgrs3fbkemr)  No Limit Texas Hold'em (dealer: ""zozozo @ I42BI18xq3"") --",2026-02-09T13:58:20.157Z,177064550015700
"-- ending hand #57 --",2026-02-09T13:58:14.150Z,177064549415004
"""かいる @ nPiUhQEVMi"" collected 55 from pot with Pair, J's (combination: 8♣, K♥, A♦, J♣, J♥)",2026-02-09T13:58:14.150Z,177064549415003
"""Jongo @ fkdSdH_cyU"" collected 55 from pot with Pair, J's (combination: 8♣, K♦, A♦, J♣, J♥)",2026-02-09T13:58:14.150Z,177064549415002
"""Jongo @ fkdSdH_cyU"" shows a K♦, 2♦.",2026-02-09T13:58:14.150Z,177064549415001
"""かいる @ nPiUhQEVMi"" shows a 4♥, K♥.",2026-02-09T13:58:14.150Z,177064549415000
"""Jongo @ fkdSdH_cyU"" checks",2026-02-09T13:58:13.316Z,177064549331600
"""かいる @ nPiUhQEVMi"" checks",2026-02-09T13:58:10.631Z,177064549063100
"River: 8♣, J♣, J♥, A♦ [3♥]",2026-02-09T13:57:51.099Z,177064547109900
"""Jongo @ fkdSdH_cyU"" checks",2026-02-09T13:57:50.297Z,177064547029700
"""かいる @ nPiUhQEVMi"" checks",2026-02-09T13:57:14.276Z,177064543427600
"Turn: 8♣, J♣, J♥ [A♦]",2026-02-09T13:57:08.959Z,177064542895900
"""Jongo @ fkdSdH_cyU"" checks",2026-02-09T13:57:08.095Z,177064542809500
"""かいる @ nPiUhQEVMi"" checks",2026-02-09T13:56:51.529Z,177064541152900
"Flop:  [8♣, J♣, J♥]",2026-02-09T13:56:49.414Z,177064540941400
"""かいる @ nPiUhQEVMi"" calls 50",2026-02-09T13:56:48.577Z,177064540857700
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:56:33.860Z,177064539386000
"""Jongo @ fkdSdH_cyU"" raises to 50",2026-02-09T13:56:32.839Z,177064539283900
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:56:27.223Z,177064538722300
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:56:26.189Z,177064538618900
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:56:23.675Z,177064538367500
"""かいる @ nPiUhQEVMi"" posts a big blind of 20",2026-02-09T13:56:20.527Z,177064538052709
"""zozozo @ I42BI18xq3"" posts a small blind of 10",2026-02-09T13:56:20.527Z,177064538052708
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2080) | #5 ""teish @ v-iN-1QQsm"" (2310) | #6 ""Jongo @ fkdSdH_cyU"" (2365) | #7 ""zozozo @ I42BI18xq3"" (3247) | #9 ""かいる @ nPiUhQEVMi"" (3020) | #10 ""揚げもち @ 3liBhfdN10"" (2030)",2026-02-09T13:56:20.527Z,177064538052701
"-- starting hand #57 (id: jpy1lhexxfoi)  No Limit Texas Hold'em (dealer: ""Jongo @ fkdSdH_cyU"") --",2026-02-09T13:56:20.527Z,177064538052700
"-- ending hand #56 --",2026-02-09T13:56:17.610Z,177064537761002
"""teish @ v-iN-1QQsm"" collected 610 from pot",2026-02-09T13:56:17.610Z,177064537761001
"Uncalled bet of 1700 returned to ""teish @ v-iN-1QQsm""",2026-02-09T13:56:17.610Z,177064537761000
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:56:16.803Z,177064537680300
"""teish @ v-iN-1QQsm"" raises to 1950 and go all in",2026-02-09T13:56:14.091Z,177064537409100
"""zozozo @ I42BI18xq3"" bets 250",2026-02-09T13:56:01.641Z,177064536164100
"River: 9♠, J♥, 5♥, 8♦ [10♣]",2026-02-09T13:55:50.652Z,177064535065200
"""teish @ v-iN-1QQsm"" checks",2026-02-09T13:55:49.799Z,177064534979900
"""zozozo @ I42BI18xq3"" checks",2026-02-09T13:55:26.275Z,177064532627500
"Turn: 9♠, J♥, 5♥ [8♦]",2026-02-09T13:55:22.427Z,177064532242700
"""teish @ v-iN-1QQsm"" checks",2026-02-09T13:55:21.570Z,177064532157000
"""zozozo @ I42BI18xq3"" checks",2026-02-09T13:54:53.082Z,177064529308200
"Flop:  [9♠, J♥, 5♥]",2026-02-09T13:54:50.836Z,177064529083600
"""zozozo @ I42BI18xq3"" calls 50",2026-02-09T13:54:50.019Z,177064529001900
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T13:54:47.043Z,177064528704300
"""teish @ v-iN-1QQsm"" raises to 50",2026-02-09T13:54:46.010Z,177064528601000
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:54:38.674Z,177064527867400
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:54:35.090Z,177064527509000
"""かいる @ nPiUhQEVMi"" folds",2026-02-09T13:54:34.002Z,177064527400200
"""zozozo @ I42BI18xq3"" posts a big blind of 20",2026-02-09T13:54:31.235Z,177064527123510
"""Jongo @ fkdSdH_cyU"" posts a small blind of 10",2026-02-09T13:54:31.235Z,177064527123509
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2080) | #5 ""teish @ v-iN-1QQsm"" (2000) | #6 ""Jongo @ fkdSdH_cyU"" (2375) | #7 ""zozozo @ I42BI18xq3"" (3547) | #9 ""かいる @ nPiUhQEVMi"" (3020) | #10 ""揚げもち @ 3liBhfdN10"" (2030)",2026-02-09T13:54:31.235Z,177064527123502
"-- starting hand #56 (id: 6w5jd6fxiuwe)  No Limit Texas Hold'em (dealer: ""teish @ v-iN-1QQsm"") --",2026-02-09T13:54:31.235Z,177064527123501
"The admin updated the player ""teish @ v-iN-1QQsm"" stack from 1970 to 2000.",2026-02-09T13:54:31.235Z,177064527123500
"-- ending hand #55 --",2026-02-09T13:54:28.282Z,177064526828202
"""ゴン02（江戸犬） @ AblUkPGGlZ"" collected 130 from pot",2026-02-09T13:54:28.282Z,177064526828201
"Uncalled bet of 100 returned to ""ゴン02（江戸犬） @ AblUkPGGlZ""",2026-02-09T13:54:28.282Z,177064526828200
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:54:27.477Z,177064526747700
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T13:54:26.441Z,177064526644100
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:54:25.380Z,177064526538000
"""ゴン02（江戸犬） @ AblUkPGGlZ"" raises to 150",2026-02-09T13:54:20.013Z,177064526001300
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:54:11.849Z,177064525184900
"""かいる @ nPiUhQEVMi"" folds",2026-02-09T13:54:10.848Z,177064525084800
"""zozozo @ I42BI18xq3"" raises to 50",2026-02-09T13:54:08.978Z,177064524897800
"WARNING: the admin queued the stack change for the player ""teish @ v-iN-1QQsm"" reseting to 2000 chips in the next hand.",2026-02-09T13:54:06.903Z,177064524690300
"""Jongo @ fkdSdH_cyU"" posts a big blind of 20",2026-02-09T13:54:03.447Z,177064524344710
"""teish @ v-iN-1QQsm"" posts a small blind of 10",2026-02-09T13:54:03.447Z,177064524344709
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2000) | #5 ""teish @ v-iN-1QQsm"" (1980) | #6 ""Jongo @ fkdSdH_cyU"" (2395) | #7 ""zozozo @ I42BI18xq3"" (3597) | #9 ""かいる @ nPiUhQEVMi"" (3020) | #10 ""揚げもち @ 3liBhfdN10"" (2030)",2026-02-09T13:54:03.447Z,177064524344702
"-- starting hand #55 (id: p5pzwo4lbryo)  No Limit Texas Hold'em (dealer: ""ゴン02（江戸犬） @ AblUkPGGlZ"") --",2026-02-09T13:54:03.447Z,177064524344701
"The admin updated the player ""ゴン02（江戸犬） @ AblUkPGGlZ"" stack from 1990 to 2000.",2026-02-09T13:54:03.447Z,177064524344700
"-- ending hand #54 --",2026-02-09T13:54:00.525Z,177064524052502
"""揚げもち @ 3liBhfdN10"" collected 50 from pot",2026-02-09T13:54:00.525Z,177064524052501
"Uncalled bet of 30 returned to ""揚げもち @ 3liBhfdN10""",2026-02-09T13:54:00.525Z,177064524052500
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:53:59.649Z,177064523964900
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:53:58.621Z,177064523862100
"""揚げもち @ 3liBhfdN10"" raises to 50",2026-02-09T13:53:57.596Z,177064523759600
"""かいる @ nPiUhQEVMi"" folds",2026-02-09T13:53:54.153Z,177064523415300
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:53:52.929Z,177064523292900
"WARNING: the admin queued the stack change for the player ""ゴン02（江戸犬） @ AblUkPGGlZ"" reseting to 2000 chips in the next hand.",2026-02-09T13:53:50.224Z,177064523022400
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T13:53:49.795Z,177064522979500
"""teish @ v-iN-1QQsm"" posts a big blind of 20",2026-02-09T13:53:47.006Z,177064522700611
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a small blind of 10",2026-02-09T13:53:47.006Z,177064522700610
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2000) | #5 ""teish @ v-iN-1QQsm"" (2000) | #6 ""Jongo @ fkdSdH_cyU"" (2395) | #7 ""zozozo @ I42BI18xq3"" (3597) | #9 ""かいる @ nPiUhQEVMi"" (3020) | #10 ""揚げもち @ 3liBhfdN10"" (2000)",2026-02-09T13:53:47.006Z,177064522700603
"-- starting hand #54 (id: um2eqw7rscti)  No Limit Texas Hold'em (dealer: ""揚げもち @ 3liBhfdN10"") --",2026-02-09T13:53:47.006Z,177064522700602
"The admin updated the player ""揚げもち @ 3liBhfdN10"" stack from 2080 to 2000.",2026-02-09T13:53:47.006Z,177064522700601
"The admin updated the player ""ゴン02（江戸犬） @ AblUkPGGlZ"" stack from 1980 to 2000.",2026-02-09T13:53:47.006Z,177064522700600
"-- ending hand #53 --",2026-02-09T13:53:44.090Z,177064522409002
"""揚げもち @ 3liBhfdN10"" collected 140 from pot",2026-02-09T13:53:44.090Z,177064522409001
"Uncalled bet of 180 returned to ""揚げもち @ 3liBhfdN10""",2026-02-09T13:53:44.090Z,177064522409000
"""かいる @ nPiUhQEVMi"" folds",2026-02-09T13:53:43.278Z,177064522327800
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:53:41.500Z,177064522150000
"""揚げもち @ 3liBhfdN10"" raises to 240",2026-02-09T13:53:40.442Z,177064522044200
"""かいる @ nPiUhQEVMi"" raises to 60",2026-02-09T13:53:33.053Z,177064521305300
"WARNING: the admin queued the stack change for the player ""揚げもち @ 3liBhfdN10"" reseting to 2000 chips in the next hand.",2026-02-09T13:53:28.737Z,177064520873700
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:53:28.282Z,177064520828200
"WARNING: the admin queued the stack change for the player ""ゴン02（江戸犬） @ AblUkPGGlZ"" reseting to 2000 chips in the next hand.",2026-02-09T13:53:27.435Z,177064520743500
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T13:53:27.208Z,177064520720800
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:53:26.166Z,177064520616600
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a big blind of 20",2026-02-09T13:53:24.405Z,177064520440510
"""揚げもち @ 3liBhfdN10"" posts a small blind of 10",2026-02-09T13:53:24.405Z,177064520440509
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2000) | #5 ""teish @ v-iN-1QQsm"" (2000) | #6 ""Jongo @ fkdSdH_cyU"" (2395) | #7 ""zozozo @ I42BI18xq3"" (3597) | #9 ""かいる @ nPiUhQEVMi"" (3080) | #10 ""揚げもち @ 3liBhfdN10"" (2000)",2026-02-09T13:53:24.405Z,177064520440502
"-- starting hand #53 (id: s0xwxmxhjg0u)  No Limit Texas Hold'em (dealer: ""かいる @ nPiUhQEVMi"") --",2026-02-09T13:53:24.405Z,177064520440501
"The admin updated the player ""揚げもち @ 3liBhfdN10"" stack from 1830 to 2000.",2026-02-09T13:53:24.405Z,177064520440500
"-- ending hand #52 --",2026-02-09T13:53:21.475Z,177064520147502
"""Jongo @ fkdSdH_cyU"" collected 110 from pot",2026-02-09T13:53:21.475Z,177064520147501
"Uncalled bet of 80 returned to ""Jongo @ fkdSdH_cyU""",2026-02-09T13:53:21.475Z,177064520147500
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:53:20.642Z,177064520064200
"""Jongo @ fkdSdH_cyU"" bets 80",2026-02-09T13:53:12.167Z,177064519216700
"""揚げもち @ 3liBhfdN10"" checks",2026-02-09T13:52:47.519Z,177064516751900
"Flop:  [Q♦, 7♠, 10♠]",2026-02-09T13:52:45.564Z,177064516556400
"""揚げもち @ 3liBhfdN10"" calls 50",2026-02-09T13:52:44.742Z,177064516474200
"""かいる @ nPiUhQEVMi"" folds",2026-02-09T13:52:42.281Z,177064516228100
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:52:39.352Z,177064515935200
"""Jongo @ fkdSdH_cyU"" raises to 50",2026-02-09T13:52:38.335Z,177064515833500
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:52:30.558Z,177064515055800
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:52:29.515Z,177064514951500
"WARNING: the admin queued the stack change for the player ""揚げもち @ 3liBhfdN10"" reseting to 2000 chips in the next hand.",2026-02-09T13:52:28.981Z,177064514898100
"""揚げもち @ 3liBhfdN10"" posts a big blind of 20",2026-02-09T13:52:26.905Z,177064514690510
"""かいる @ nPiUhQEVMi"" posts a small blind of 10",2026-02-09T13:52:26.905Z,177064514690509
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2000) | #5 ""teish @ v-iN-1QQsm"" (2000) | #6 ""Jongo @ fkdSdH_cyU"" (2335) | #7 ""zozozo @ I42BI18xq3"" (3597) | #9 ""かいる @ nPiUhQEVMi"" (3090) | #10 ""揚げもち @ 3liBhfdN10"" (1880)",2026-02-09T13:52:26.905Z,177064514690502
"-- starting hand #52 (id: wgeee9ll5zwq)  No Limit Texas Hold'em (dealer: ""zozozo @ I42BI18xq3"") --",2026-02-09T13:52:26.905Z,177064514690501
"The admin updated the player ""teish @ v-iN-1QQsm"" stack from 2047 to 2000.",2026-02-09T13:52:26.905Z,177064514690500
"-- ending hand #51 --",2026-02-09T13:52:23.976Z,177064514397602
"""teish @ v-iN-1QQsm"" collected 330 from pot",2026-02-09T13:52:23.976Z,177064514397601
"Uncalled bet of 110 returned to ""teish @ v-iN-1QQsm""",2026-02-09T13:52:23.976Z,177064514397600
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:52:23.123Z,177064514312300
"""teish @ v-iN-1QQsm"" bets 110",2026-02-09T13:52:21.622Z,177064514162200
"""揚げもち @ 3liBhfdN10"" checks",2026-02-09T13:51:51.211Z,177064511121100
"Flop:  [8♦, 9♣, A♣]",2026-02-09T13:51:49.188Z,177064510918800
"""揚げもち @ 3liBhfdN10"" calls 150",2026-02-09T13:51:48.353Z,177064510835300
"""かいる @ nPiUhQEVMi"" folds",2026-02-09T13:51:46.585Z,177064510658500
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:51:43.444Z,177064510344400
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T13:51:42.400Z,177064510240000
"""teish @ v-iN-1QQsm"" raises to 150",2026-02-09T13:51:41.326Z,177064510132600
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:51:29.770Z,177064508977000
"""揚げもち @ 3liBhfdN10"" raises to 50",2026-02-09T13:51:15.546Z,177064507554600
"WARNING: the admin queued the stack change for the player ""teish @ v-iN-1QQsm"" reseting to 2000 chips in the next hand.",2026-02-09T13:51:14.330Z,177064507433000
"""かいる @ nPiUhQEVMi"" posts a big blind of 20",2026-02-09T13:51:10.212Z,177064507021209
"""zozozo @ I42BI18xq3"" posts a small blind of 10",2026-02-09T13:51:10.212Z,177064507021208
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2000) | #5 ""teish @ v-iN-1QQsm"" (1867) | #6 ""Jongo @ fkdSdH_cyU"" (2335) | #7 ""zozozo @ I42BI18xq3"" (3607) | #9 ""かいる @ nPiUhQEVMi"" (3110) | #10 ""揚げもち @ 3liBhfdN10"" (2030)",2026-02-09T13:51:10.212Z,177064507021201
"-- starting hand #51 (id: igzn8n4idup1)  No Limit Texas Hold'em (dealer: ""Jongo @ fkdSdH_cyU"") --",2026-02-09T13:51:10.212Z,177064507021200
"-- ending hand #50 --",2026-02-09T13:51:07.298Z,177064506729802
"""zozozo @ I42BI18xq3"" collected 276 from pot",2026-02-09T13:51:07.298Z,177064506729801
"Uncalled bet of 167 returned to ""zozozo @ I42BI18xq3""",2026-02-09T13:51:07.298Z,177064506729800
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:51:06.452Z,177064506645200
"""zozozo @ I42BI18xq3"" raises to 250",2026-02-09T13:50:51.346Z,177064505134600
"""teish @ v-iN-1QQsm"" bets 83",2026-02-09T13:50:35.407Z,177064503540700
"""zozozo @ I42BI18xq3"" checks",2026-02-09T13:50:03.779Z,177064500377900
"Flop:  [J♠, 7♠, Q♥]",2026-02-09T13:50:01.433Z,177064500143300
"""zozozo @ I42BI18xq3"" calls 50",2026-02-09T13:50:00.547Z,177064500054700
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T13:49:58.342Z,177064499834200
"""teish @ v-iN-1QQsm"" raises to 50",2026-02-09T13:49:57.286Z,177064499728600
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:49:41.767Z,177064498176700
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:49:40.139Z,177064498013900
"""かいる @ nPiUhQEVMi"" folds",2026-02-09T13:49:38.468Z,177064497846800
"""zozozo @ I42BI18xq3"" posts a big blind of 20",2026-02-09T13:49:37.038Z,177064497703810
"""Jongo @ fkdSdH_cyU"" posts a small blind of 10",2026-02-09T13:49:37.038Z,177064497703809
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2000) | #5 ""teish @ v-iN-1QQsm"" (2000) | #6 ""Jongo @ fkdSdH_cyU"" (2345) | #7 ""zozozo @ I42BI18xq3"" (3464) | #9 ""かいる @ nPiUhQEVMi"" (3110) | #10 ""揚げもち @ 3liBhfdN10"" (2030)",2026-02-09T13:49:37.038Z,177064497703802
"-- starting hand #50 (id: xpresgsvkfeb)  No Limit Texas Hold'em (dealer: ""teish @ v-iN-1QQsm"") --",2026-02-09T13:49:37.038Z,177064497703801
"The admin updated the player ""teish @ v-iN-1QQsm"" stack from 1990 to 2000.",2026-02-09T13:49:37.038Z,177064497703800
"-- ending hand #49 --",2026-02-09T13:49:34.121Z,177064497412102
"""かいる @ nPiUhQEVMi"" collected 90 from pot",2026-02-09T13:49:34.121Z,177064497412101
"Uncalled bet of 40 returned to ""かいる @ nPiUhQEVMi""",2026-02-09T13:49:34.121Z,177064497412100
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T13:49:33.302Z,177064497330200
"""かいる @ nPiUhQEVMi"" bets 40",2026-02-09T13:49:29.887Z,177064496988700
"""Jongo @ fkdSdH_cyU"" checks",2026-02-09T13:49:12.142Z,177064495214200
"Flop:  [3♣, J♣, 6♠]",2026-02-09T13:49:09.334Z,177064494933400
"""Jongo @ fkdSdH_cyU"" calls 40",2026-02-09T13:49:08.529Z,177064494852900
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:48:57.762Z,177064493776200
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:48:56.730Z,177064493673000
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:48:55.685Z,177064493568500
"""かいる @ nPiUhQEVMi"" raises to 40",2026-02-09T13:48:54.445Z,177064493444500
"WARNING: the admin queued the stack change for the player ""teish @ v-iN-1QQsm"" reseting to 2000 chips in the next hand.",2026-02-09T13:48:51.634Z,177064493163400
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:48:50.612Z,177064493061200
"""Jongo @ fkdSdH_cyU"" posts a big blind of 20",2026-02-09T13:48:47.897Z,177064492789710
"""teish @ v-iN-1QQsm"" posts a small blind of 10",2026-02-09T13:48:47.897Z,177064492789709
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2000) | #5 ""teish @ v-iN-1QQsm"" (2000) | #6 ""Jongo @ fkdSdH_cyU"" (2385) | #7 ""zozozo @ I42BI18xq3"" (3464) | #9 ""かいる @ nPiUhQEVMi"" (3060) | #10 ""揚げもち @ 3liBhfdN10"" (2030)",2026-02-09T13:48:47.897Z,177064492789702
"-- starting hand #49 (id: kgmtp1spiu6d)  No Limit Texas Hold'em (dealer: ""ゴン02（江戸犬） @ AblUkPGGlZ"") --",2026-02-09T13:48:47.897Z,177064492789701
"The admin updated the player ""teish @ v-iN-1QQsm"" stack from 1960 to 2000.",2026-02-09T13:48:47.897Z,177064492789700
"-- ending hand #48 --",2026-02-09T13:48:44.954Z,177064492495402
"""かいる @ nPiUhQEVMi"" collected 90 from pot",2026-02-09T13:48:44.954Z,177064492495401
"Uncalled bet of 40 returned to ""かいる @ nPiUhQEVMi""",2026-02-09T13:48:44.954Z,177064492495400
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:48:44.117Z,177064492411700
"""かいる @ nPiUhQEVMi"" bets 40",2026-02-09T13:48:28.117Z,177064490811700
"""teish @ v-iN-1QQsm"" checks",2026-02-09T13:48:01.660Z,177064488166000
"Turn: Q♥, K♥, 7♥ [5♠]",2026-02-09T13:47:32.872Z,177064485287200
"""かいる @ nPiUhQEVMi"" checks",2026-02-09T13:47:32.058Z,177064485205800
"""teish @ v-iN-1QQsm"" checks",2026-02-09T13:47:21.645Z,177064484164500
"Flop:  [Q♥, K♥, 7♥]",2026-02-09T13:47:04.482Z,177064482448200
"""teish @ v-iN-1QQsm"" calls 40",2026-02-09T13:47:03.662Z,177064482366200
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:46:53.808Z,177064481380800
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:46:51.160Z,177064481116000
"""かいる @ nPiUhQEVMi"" raises to 40",2026-02-09T13:46:50.139Z,177064481013900
"""zozozo @ I42BI18xq3"" folds",2026-02-09T13:46:43.753Z,177064480375300
"WARNING: the admin queued the stack change for the player ""teish @ v-iN-1QQsm"" reseting to 2000 chips in the next hand.",2026-02-09T13:46:43.745Z,177064480374500
"""Jongo @ fkdSdH_cyU"" folds",2026-02-09T13:46:42.696Z,177064480269600
"""teish @ v-iN-1QQsm"" posts a big blind of 20",2026-02-09T13:46:41.047Z,177064480104709
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a small blind of 10",2026-02-09T13:46:41.047Z,177064480104708
"Player stacks: #2 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2010) | #5 ""teish @ v-iN-1QQsm"" (2000) | #6 ""Jongo @ fkdSdH_cyU"" (2385) | #7 ""zozozo @ I42BI18xq3"" (3464) | #9 ""かいる @ nPiUhQEVMi"" (3010) | #10 ""揚げもち @ 3liBhfdN10"" (2030)",2026-02-09T13:46:41.047Z,177064480104701
"-- starting hand #48 (id: rq7mzzpayale)  No Limit Texas Hold'em (dealer: ""揚げもち @ 3liBhfdN10"") --",2026-02-09T13:46:41.047Z,177064480104700
"-- ending hand #47 --",2026-02-09T13:46:38.142Z,177064479814202
"""揚げもち @ 3liBhfdN10"" collected 40 from pot",2026-02-09T13:46:38.142Z,177064479814201
"Uncalled bet of 40 returned to ""揚げもち @ 3liBhfdN10""",2026-02-09T13:46:38.142Z,177064479814200
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:46:37.301Z,177064479730100
